Date;CV_daily;PV_daily_MWh
21.07.2016;0.209675299;139662.25
22.07.2016;0.177831386;172881.25
23.07.2016;0.159832979;138544
24.07.2016;0.277690185;129853.5
25.07.2016;0.239240018;138229
26.07.2016;0.216744516;148230.5
27.07.2016;0.219846185;140598.75
28.07.2016;0.197212394;143427.5
29.07.2016;0.195682136;149903.25
30.07.2016;0.207250624;163954.5
31.07.2016;0.199327288;96641
01.08.2016;0.270439747;171733.75
02.08.2016;0.238439992;82123.25
03.08.2016;0.230446776;101856.75
04.08.2016;0.260370291;136499.75
05.08.2016;0.232031821;104523.25
06.08.2016;0.229170954;141835.75
07.08.2016;0.800946595;197987.25
08.08.2016;0.486815308;172574.75
09.08.2016;0.250036056;108576
10.08.2016;0.252437572;123743.75
11.08.2016;0.26252775;145302.25
12.08.2016;0.280102856;63613.75
13.08.2016;0.415295252;175705.75
14.08.2016;0.422023656;166927.75
15.08.2016;0.282397583;173784.5
16.08.2016;0.245738125;183882.75
17.08.2016;0.268172727;182429.5
18.08.2016;0.249084958;161677.25
19.08.2016;0.246174168;162321.25
20.08.2016;0.19346283;106620.25
21.08.2016;0.681668116;125987
22.08.2016;0.326028063;125144.75
23.08.2016;0.304608238;161480.5
24.08.2016;0.29557311;185890
25.08.2016;0.313358627;194995.25
26.08.2016;0.305706037;161578
27.08.2016;0.316608261;185593
28.08.2016;0.47227333;162508.25
29.08.2016;0.320535231;106429.25
30.08.2016;0.343138301;178617
31.08.2016;0.324779851;170581
01.09.2016;0.295119817;147092.75
02.09.2016;0.29076162;164306.25
03.09.2016;0.250381201;136417.75
04.09.2016;0.261868102;77085.75
05.09.2016;0.33643836;92802.5
06.09.2016;0.348249372;155866.25
07.09.2016;0.337977775;168444.5
08.09.2016;0.337982353;172317
09.09.2016;0.309820092;154785
10.09.2016;0.304102964;162472.5
11.09.2016;0.422574774;146759.75
12.09.2016;0.365556977;162608.75
13.09.2016;0.335370524;163843.5
14.09.2016;0.315264712;150593
15.09.2016;0.325873196;153040
16.09.2016;0.31019899;99221
17.09.2016;0.25796727;49467.5
18.09.2016;0.341345334;64650.5
19.09.2016;0.348246143;60987.75
20.09.2016;0.327982931;73422.25
21.09.2016;0.366651663;129976.5
22.09.2016;0.385297142;144373.75
23.09.2016;0.323843345;123529.25
24.09.2016;0.339575985;147247
25.09.2016;0.549042324;153541
26.09.2016;0.392031774;109216.75
27.09.2016;0.366228817;113319.75
28.09.2016;0.443877596;101505.75
29.09.2016;0.486955902;127188
30.09.2016;0.341374366;87732.25
01.10.2016;0.228350453;65258.25
02.10.2016;0.325825134;69869.5
03.10.2016;0.257900152;61308.25
04.10.2016;0.306642742;69078.25
05.10.2016;0.359007465;104887
06.10.2016;0.37168534;28995.5
07.10.2016;0.294565424;43970
08.10.2016;0.268887508;56456.5
09.10.2016;0.313536209;68378
10.10.2016;0.428977691;64503.25
