Revenue,LongtermdebtthEUR,ShareholdersfundsthEUR,ExportrevenuethEUR,TotalassetsthEUR,EBIT,ProfitLoss,InterestpaidthEUR,Exportshare,ROE,ROA,Indebt,Taxes
15236.721,497.198,7744.366,0,17973.921,236.044,88.679,87.04900000000001,0,.030479448,.013132582,.02766219,60.316002
13232.573,542.778,7353.788,4505.179,17954.445,-295.346,-394.442,88.11,.34046131,-.040162429,-.016449742,.030230843,10.986
12921.342,546.289,7181.163,4345.722,18701.726,260.898,4.766,84.265,.33632126,.036330882,.013950477,.02921062,171.867
12950.561,933.7380000000001,7222.86,4344.176,19626.678,246.047,-.003,159.638,.33544308,.034065038,.012536355,.047574937,86.412003
12560.555,1190.925,7446.507,4080.686,19866.017,208.228,.342,129.693,.32488102,.027963178,.010481618,.059947848,78.193001
10438.203,268.867,7370.633,0,10221.322,810.958,819.941,24.459,0,.11002555,.079339832,.026304523,-33.442001
12115.417,116.861,8010.246,6107.965,11089.485,1099.302,1141.099,12.608,.50414813,.13723698,.099130124,.010538001,-54.404999
10342.272,403.755,7996.216,5486.167,11143.628,514.333,567.696,9.294,.53046054,.064322047,.046154898,.036231916,-62.657001
10435.528,305.668,8192.222,5732.126,11068.039,555.223,608.3920000000001,12.784,.54928952,.067774408,.050164532,.027617177,-65.953003
11646.698,205.703,8556.478999999999,6533.998,11505.29,871.894,903.239,9.617000000000001,.56101722,.10189869,.075782008,.017878992,-40.962002
10906.359,103.827,8446.049999999999,7988.935,11192.201,745.629,786.5309999999999,8.484,.73250246,.088281386,.066620409,.0092767272,-49.386002
11685.45,0,8623.117,6446.688,11290.435,910.529,954.284,6.414,.55168504,.10559163,.080646053,0,-50.168999
11317.634,0,8661.981,6460.811,11190.673,853.471,905.7329999999999,3.327,.57086235,.098530695,.076266281,0,-55.589001
12480.264,1870.407,9298.423000000001,6800.435,15321.968,990.217,1116.105,9.73,.54489511,.106493,.064627275,.12207355,-135.618
6855.932,961.068,2991.509,883.885,9928.218999999999,-88.118,-139.913,73.16500000000001,.12892266,-.029456036,-.0088755097,.096801654,-21.370001
9040.743,833.7910000000001,3032.389,1311.417,11405.283,78.819,40.879,66.325,.14505634,.025992377,.0069107446,.073105685,-28.385
8527.134,769.05,3237.233,1471.576,11068.655,-2.44,-67.105,59.186,.17257568,-.00075373013,-.00022044232,.069479987,5.4790001
13110.551,764.755,3851.475,3709.806,14876.197,234.99,152.128,54.253,.2829634,.061012987,.015796376,.051407963,28.608999
12449.973,980.976,4193.086,701.384,16065.436,-42.875,.002,42.557,.056336187,-.010225166,-.0026687728,.061061274,-85.433998
48.8904642010649,2.26492163775687,47.003605651176,34.3633090677494,76.3814956922573,5.99880989972183,5.4079895662193,.0811094448465143,.70286322,.12762447,.078537479,.029652754,.50971091
12335.3639999978,566.199999999413,16111.3269999993,9808.232999997261,27720.0929999991,1144.78099999994,991.371999999969,63.4739999975562,.79513121,.071054421,.041297879,.020425618,89.934998
11406.393,0,11644.119,6488.948,25110.249,1282.809,709.581,129.734,.56888694,.11016797,.051087067,0,443.49399
9510.876,0,11952.631,7300.076,23999.876,1683.954,1082.196,70.166,.76755035,.14088564,.070165113,0,531.59198
11480.32,0,11847.287,7152.057,26343.426,1584.541,1002.217,56.172,.62298411,.13374716,.06014939,0,526.15198
8549.138000000001,0,11332.096,4140.59,27638.958,745.484,535.6180000000001,80.803,.48432836,.065785185,.026972217,0,129.063
8669.384,0,11500.077,4631.305,28734.846,618.145,350.764,82.104,.53421384,.053751379,.021512035,0,185.27699
